PRECINCT,YEAR,RACE,PRECINCT_TURNOUT,PRECINCT_DEM,ALL_TURNOUT,ALL_DEM
1,2017,Governor,0.5088282041463662,0.8587712141063716,0.59,0.8240047490974292
1,2018,US Senate,0.6649234107750567,0.8830598556098239,0.71,0.8602390375334327
1,2019,VA Senate,0.3265111406820531,1.0,0.37,0.9617854594466028
1,2020,President,0.5888310726260914,0.8801633197104125,0.79,0.9267225408028231
1,2021,Governor,0.49902474631345045,0.8242682664899258,0.62,0.8313795903429819
1,2022,House,0.4057598338046635,0.798951048951049,0.56,0.7904513531443735
2,2017,Governor,0.6285097457821149,0.8513184297208309,0.59,0.8240047490974292
2,2018,US Senate,0.7289895842754148,0.8806096475553211,0.71,0.8602390375334327
2,2019,VA Senate,0.3817932022851158,1.0,0.37,0.9617854594466028
2,2020,President,0.8568098394065639,0.9413489806960117,0.79,0.9267225408028231
2,2021,Governor,0.6469411812326509,0.8421645656433159,0.62,0.8313795903429819
2,2022,House,0.6013879434951335,0.8292929292929293,0.56,0.7904513531443735
3,2017,Governor,0.6812355369235022,0.7535196586090169,0.59,0.8240047490974292
3,2018,US Senate,0.74833677907817,0.817269610943257,0.71,0.8602390375334327
3,2019,VA Senate,0.4180692370871059,1.0,0.37,0.9617854594466028
3,2020,President,0.7287362625334453,0.9445838465390404,0.79,0.9267225408028231
3,2021,Governor,0.6994008576559831,0.7726470171019808,0.62,0.8313795903429819
3,2022,House,0.6681884489936366,0.727051177904143,0.56,0.7904513531443735
4,2017,Governor,0.5878052844468754,0.8321556449758569,0.59,0.8240047490974292
4,2018,US Senate,0.7074631458222306,0.8618949143214286,0.71,0.8602390375334327
4,2019,VA Senate,0.3394401621500972,1.0,0.37,0.9617854594466028
4,2020,President,0.7890217843444005,0.919990950018181,0.79,0.9267225408028231
4,2021,Governor,0.6098805474436003,0.8353922664917809,0.62,0.8313795903429819
4,2022,House,0.5550268797463707,0.801226366888094,0.56,0.7904513531443735
5,2017,Governor,0.6519219522892823,0.8244710471164611,0.59,0.8240047490974292
5,2018,US Senate,0.7524933315738378,0.8647130337624033,0.71,0.8602390375334327
5,2019,VA Senate,0.43420237871798156,1.0,0.37,0.9617854594466028
5,2020,President,0.7964850998453377,0.9151968321096795,0.79,0.9267225408028231
5,2021,Governor,0.6725468293233915,0.8254579596529137,0.62,0.8313795903429819
5,2022,House,0.6102175753277357,0.8026394721055788,0.56,0.7904513531443735
6,2017,Governor,0.6215837340502662,0.803791331641161,0.59,0.8240047490974292
6,2018,US Senate,0.7248098077621824,0.8413885678193888,0.71,0.8602390375334327
6,2019,VA Senate,0.2981591413699824,1.0,0.37,0.9617854594466028
6,2020,President,0.7182038418908736,0.9239048952641521,0.79,0.9267225408028231
6,2021,Governor,0.586381355782443,0.8218779667478865,0.62,0.8313795903429819
6,2022,House,0.5172697024961369,0.7769404672192917,0.56,0.7904513531443735
7,2017,Governor,0.6493417270243323,0.8189073904011134,0.59,0.8240047490974292
7,2018,US Senate,0.7616776180062284,0.8629522813981066,0.71,0.8602390375334327
7,2019,VA Senate,0.4102713292502744,1.0,0.37,0.9617854594466028
7,2020,President,0.9463103654429909,0.9227017363231504,0.79,0.9267225408028231
7,2021,Governor,0.7010933121126531,0.8312067323784225,0.62,0.8313795903429819
7,2022,House,0.6416266060915553,0.7863729508196722,0.56,0.7904513531443735
8,2017,Governor,0.5489183306919485,0.798017851009346,0.59,0.8240047490974292
8,2018,US Senate,0.6720915702366075,0.8436134937987371,0.71,0.8602390375334327
8,2019,VA Senate,0.3178929918092412,1.0,0.37,0.9617854594466028
8,2020,President,0.6636060575980937,0.9211552225548896,0.79,0.9267225408028231
8,2021,Governor,0.5866241219572207,0.828739336998858,0.62,0.8313795903429819
8,2022,House,0.5237689642287707,0.7573200992555831,0.56,0.7904513531443735
9,2017,Governor,0.587512090812417,0.8523521623487065,0.59,0.8240047490974292
9,2018,US Senate,0.7538224248841439,0.8713267414188519,0.71,0.8602390375334327
9,2019,VA Senate,0.3705203117005919,1.0,0.37,0.9617854594466028
