Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 001 ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,"2,840",181,"3,021",54,3,8,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0201,201 - ATLANTIC,970,37,"1,007",10,,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,"1,760",123,"1,883",24,,2,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0301,301 - NEW CHURCH,"2,692",204,"2,896",25,1,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0401,401 - BLOXOM,"1,103",53,"1,156",10,,2,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0402,402 - PARKSLEY,"1,127",50,"1,177",13,3,2,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0403,403 - SAXIS,334,7,341,,,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0501,501 - MAPPSVILLE,"1,151",63,"1,214",2,2,2,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0502,502 - RUE,"1,061",47,"1,108",6,,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0601,601 - ACCOMAC,"2,134",107,"2,241",23,3,3,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0602,602 - TANGIER,321,6,327,6,,2,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0701,701 - NANDUA,"2,913",112,"3,025",34,4,11,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0801,801 - BOBTOWN,933,30,963,4,2,3,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0802,802 - MELFA,"1,310",42,"1,352",7,,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,785,21,806,13,1,,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 001 ACCOMACK COUNTY,0901,901 - PAINTER,"2,842",105,"2,947",29,1,3,16,"24,276","1,188","25,464",260,20,38,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 003 ALBEMARLE COUNTY,0101,101 - WOODBROOK,"2,959",152,"3,111",16,16,,30,"80,065","4,942","85,007",713,539,167,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
Locality: 003 ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,"1,245",207,"1,452",15,7,1,30,"80,065","4,942","85,007",713,539,167,133,"5,773,768","358,563","6,132,331","111,045","19,821","9,102","2,545"
